max,min,density,resolution
1.213920075999351,0.009632404120098827,0.1,1024
403.06856565847283,-148.2447793870835,0.2,1024
67.46512039077567,-1842.3104791389774,0.3,1024
141.15493253569355,-1810.7399252365276,0.4,1024
165.8008523261955,-36.908805510225854,0.5,1024
88.026215233596,-141.2630527773238,0.6,1024
125.27682793532895,-11.070879370001643,0.7,1024
3.2509257372006743,-5.430897954464001,0.8,1024
3.9726528544652147,-3.8842632171368527,0.9,1024
4.358689575508272,-3.459025055536117,1.0,1024
5.108062819102922,-2.795575316652636,1.1,1024
5.959733022367025,-1.9221193233329077,1.2,1024
6.71193931393686,-1.28309170397219,1.3,1024
7.877125742913174,-1.0216491899418356,1.4,1024
8.705076917894123,-0.11771040061353309,1.5,1024
9.700440917685281,0.01324849255924976,1.6,1024
10.761844850931242,0.021379868009085586,1.7,1024
11.875438504183975,0.02994922884455382,1.8,1024
13.035466305585494,0.038958699440503244,1.9,1024
14.238879722376813,0.04839986684679765,2.0,1024
20.90786633373131,0.10246409438643586,2.5,1024
28.65487588908723,0.1682589604576093,3.0,1024
37.47344353443543,0.24604492540327613,3.5,1024
47.35222786535905,0.33592186678432956,4.0,1024
58.280197117705114,0.4379279309820116,4.5,1024
72.02764283572841,0.5498234633644222,5.0,1024
87.78116310459846,0.6767618913093943,5.5,1024
105.48798877381951,0.8185820705305269,6.0,1024
123.21732422130427,0.9635071493882725,6.5,1024
143.37669084844646,1.1269430775925013,7.0,1024
