ρ = 0.6
Structure Factor Toggle = true
Tmp Path = ./Data
Iterations = 1500
After iteration 0, the error is 1.4446e-7.
Converged after 2 iterations, the error is 3.1e-13.
  5.154009 seconds (3.05 M allocations: 200.586 MiB, 2.47% gc time, 99.94% compilation time)
237.773347 seconds (5.03 G allocations: 1.671 TiB, 37.68% gc time, 59.31% compilation time)
Setup completed, performing Dyson Iteration
Iter     f(x) inf-norm    Step 2-norm 
   157     2.119532e+02     2.298182e+05
   158     2.570110e+03     7.800471e+06
   159     4.974586e+02     2.946624e+05
   160     4.754456e+02     4.692022e+05
   161     2.286755e+03     6.308848e+06
   162     1.208744e+03     2.765573e+06
   163     3.148245e+02     3.251638e+05
   164     3.055087e+02     2.874459e+05
   165     7.755315e+02     8.193484e+05
   166     3.298601e+03     1.189167e+07
   167     1.169390e+02     1.003567e+05
   168     3.226632e+03     1.258442e+07
   169     4.488545e+04     2.017859e+09
   170     4.025306e+02     2.773384e+05
   171     1.543482e+02     1.391605e+05
   172     6.050330e+02     5.995231e+05
   173     4.708109e+04     4.359784e+09
   174     1.200815e+02     7.261847e+04
   175     3.855777e+02     2.011171e+05
   176     1.169024e+02     5.676928e+04
   177     5.032703e+01     1.686271e+04
   178     5.030371e+02     3.286406e+05
   179     5.899770e+02     5.380290e+05
   180     1.027571e+03     1.325676e+06
   181     2.927740e+03     1.365122e+07
   182     1.743115e+04     5.689847e+08
   183     1.734320e+03     3.921078e+06
   184     1.079754e+03     1.330156e+06
   185     1.412199e+03     3.733257e+06
   186     2.527954e+03     7.042104e+06
   187     5.058593e+02     7.830301e+05
   188     1.413102e+03     3.631735e+06
   189     2.841697e+02     3.026806e+05
   190     8.638700e+02     1.095496e+06
   191     1.144145e+03     1.748923e+06
   192     3.015990e+02     2.537510e+05
   193     1.509844e+02     8.055444e+04
   194     7.547283e+01     2.621670e+04
   195     1.304855e+02     3.040455e+04
   196     8.586946e+01     1.932575e+04
   197     4.758549e+01     6.447161e+03
   198     5.112715e+02     5.010058e+05
   199     9.705669e+01     2.906167e+04
   200     2.241768e+02     8.594399e+04
   201     1.025551e+02     4.511142e+04
   202     4.618333e+03     4.352774e+07
   203     2.605485e+04     6.794108e+08
   204     2.760742e+03     7.703688e+06
   205     6.475503e+02     5.021323e+05
   206     2.785386e+02     1.893121e+05
   207     1.637348e+02     7.641188e+04
   208     9.791093e+01     3.798752e+04
   209     4.755999e+02     8.713383e+05
   210     4.106185e+02     3.930722e+05
   211     2.880693e+02     1.416542e+05
   212     1.474265e+02     8.408396e+04
   213     4.725812e+01     8.148399e+03
   214     3.952727e+01     5.445998e+03
   215     1.597668e+04     2.635075e+08
   216     5.650584e+03     3.207196e+07
   217     6.088064e+02     7.736242e+05
   218     3.031752e+02     2.053942e+05
   219     9.029714e+02     1.818734e+06
   220     3.869649e+02     1.701483e+05
   221     1.505356e+02     6.834270e+04
   222     2.344665e+02     1.358203e+05
   223     2.317792e+02     1.487963e+05
   224     1.822805e+03     4.368518e+06
   225     1.750229e+03     4.142559e+06
   226     4.307259e+03     2.066770e+07
   227     1.283137e+03     2.204586e+06
   228     2.006402e+02     1.496995e+05
   229     1.450592e+02     8.439737e+04
   230     1.841226e+03     5.341946e+06
   231     1.280370e+02     8.796321e+04
   232     2.524450e+02     1.258188e+05
   233     3.345551e+02     1.980875e+05
   234     7.301800e+02     6.191077e+05
   235     4.799165e+02     4.343554e+05
   236     2.107223e+03     4.531739e+06
   237     4.257560e+02     4.037008e+05
   238     9.246025e+01     4.562918e+04
   239     5.747875e+01     1.688510e+04
