r,gr,k,Fg_k,S_k,G_k,D_k
0.004405580484050956,0.7218325912228856,0.0,-208.32951592407986,-3123.942738861198,-150.9897802733516,150.9897802733516
0.013216741452152868,0.7281091255487149,0.02932551319648094,-208.31347082439456,-3123.702062365918,-7.463270428596198,7.463270428596198
0.022027902420254777,0.7343276206626903,0.05865102639296188,-208.26534126163176,-3122.9801189244763,-11.201896743503049,11.201896743503049
0.03083906338835669,0.7404858455329513,0.08797653958944282,-208.18514445538275,-3121.7771668307414,-15.683268511436426,15.683268511436426
0.039650224356458603,0.7465816686335315,0.11730205278592376,-208.0729091406849,-3120.093637110274,-20.898087065192186,20.898087065192186
0.04846138532456051,0.7526130595908159,0.1466275659824047,-207.9286756216357,-3117.9301343245356,-26.835537877311697,26.835537877311697
0.05727254629266242,0.7585780905665718,0.17595307917888564,-207.75249584652346,-3115.287437697852,-33.48331576363049,33.48331576363049
0.06608370726076433,0.7644749373821469,0.20527859237536658,-207.54443350454522,-3112.166502568178,-40.82765354685655,40.82765354685655
0.07489486822886625,0.7703018803810111,0.23460410557184752,-207.30456414419706,-3108.5684621629557,-48.85335410788729,48.85335410788729
0.08370602919696815,0.7760573050345254,0.26392961876832843,-207.03297531343864,-3104.4946297015795,-57.54382574404109,57.54382574404109
0.09251719016507007,0.7817397022928987,0.2932551319648094,-206.7297667217431,-3099.9465008261463,-66.8811207451633,66.8811207451633
0.10132835113317198,0.7873476686867212,0.3225806451612903,-206.39505042415368,-3094.925756362305,-76.84597709046159,76.84597709046159
0.11013951210127389,0.7928799061835455,0.3519061583577713,-206.02895102747058,-3089.4342654120587,-87.41786316122868,87.41786316122868
0.1189506730693758,0.7983352218060284,0.3812316715542522,-205.63160591869104,-3083.4740887803655,-98.57502535704705,98.57502535704705
0.1277618340374777,0.8037125270179338,0.41055718475073316,-205.20316551581783,-3077.0474827372673,-110.29453849596908,110.29453849596908
0.13657299500557962,0.8090108368856563,0.4398826979472141,-204.74379354113745,-3070.1569031170616,-122.55235887225224,122.55235887225224
0.14538415597368154,0.8142292690229914,0.46920821114369504,-204.25366731704932,-3062.80500975574,-135.32337983870838,135.32337983870838
0.15419531694178346,0.8193670423278347,0.49853372434017595,-203.7329780844927,-3054.9946712673905,-148.58148977460647,148.58148977460647
0.16300647790988537,0.8244234755196276,0.5278592375366569,-203.1819313439815,-3046.7289701597224,-162.2996322942453,162.2996322942453
0.17181763887798726,0.8293979854870661,0.5571847507331378,-202.60074721920165,-3038.0112082880246,-176.44986854591252,176.44986854591252
0.18062879984608918,0.8342900854557033,0.5865102639296188,-201.98966084306278,-3028.844912645942,-191.00344144591864,191.00344144591864
0.1894399608141911,0.8390993829855703,0.6158357771260997,-201.34892276601343,-3019.2338414902015,-205.93084168789545,205.93084168789545
0.198251121782293,0.8438255778089978,0.6451612903225806,-200.67879938633607,-3009.181990795041,-221.20187536326986,221.20187536326986
0.20706228275039493,0.8484684595191637,0.6744868035190615,-199.97957340201992,-2998.693601030299,-236.7857330251013,236.7857330251013
0.21587344371849682,0.853027905119851,0.7038123167155426,-199.25154428367904,-2987.7731642551857,-252.65106002427072,252.65106002427072
0.22468460468659873,0.857503876447123,0.7331378299120235,-198.49502876782168,-2976.4254315173253,-268.7660279440672,268.7660279440672
0.23349576565470065,0.8618964174735038,0.7624633431085044,-197.7103613695981,-2964.6554205439716,-285.09840695683613,285.09840695683613
0.24230692662280257,0.8662056515053335,0.7917888563049853,-196.8978949139423,-2952.4684237091346,-301.61563892443104,301.61563892443104
0.2511180875909045,0.870431778283809,0.8211143695014663,-196.05800108378605,-2939.8700162567907,-318.2849110627674,318.2849110627674
0.2599292485590064,0.8745750710001612,0.8504398826979472,-195.191070983749,-2926.866064756235,-335.0732299897565,335.0732299897565
0.2687404095271083,0.8786358732352203,0.8797653958944281,-194.29751571740442,-2913.462735761066,-351.9474959752248,351.9474959752248
0.27755157049521023,0.882614595833465,0.9090909090909091,-193.37776697587339,-2899.666504638101,-368.8745772116289,368.8745772116289
0.2863627314633121,0.8865117137213907,0.9384164222873901,-192.43227763511544,-2885.4841645267315,-385.8213839244053,385.8213839244053
0.295173892431414,0.8903277626798092,0.967741935483871,-191.4615223588553,-2870.9228353828294,-402.7549421420245,402.7549421420245
0.3039850533995159,0.8940633360793786,0.9970674486803519,-190.46599820361183,-2855.9899730541774,-419.64246694674523,419.64246694674523
0.31279621436761784,0.8977190815883882,1.0263929618768328,-189.44622522177522,-2840.693378326628,-436.4514350291603,436.4514350291603
0.32160737533571976,0.9012956978614657,1.0557184750733137,-188.4027470581094,-2825.041205871641,-453.1496563715829,453.1496563715829
0.3304185363038217,0.9047939312175692,1.0850439882697946,-187.33613153444082,-2809.0419730166122,-469.7053448881343,469.7053448881343
0.3392296972719236,0.9082145723152277,1.1143695014662756,-186.24697121662734,-2792.70456824941,-486.0871878523981,486.0871878523981
0.3480408582400255,0.9115584528326627,1.1436950146627567,-185.13588395719194,-2776.038259357879,-502.26441394704347,502.26441394704347
0.3568520192081274,0.9148264421600245,1.1730205278592376,-184.00351340624798,-2759.0527010937194,-518.2068597737864,518.2068597737864
0.36566318017622934,0.9180194441106078,1.2023460410557185,-182.85052948254923,-2741.7579422382387,-533.8850346662534,533.8850346662534
0.37447434114433126,0.9211383936575155,1.2316715542521994,-181.67762879567243,-2724.1644319350867,-549.2701836532084,549.2701836532084
0.3832855021124331,0.9241842537018637,1.2609970674486803,-180.48553500948987,-2706.283025142348,-564.3343484246706,564.3343484246706
0.39209666308053504,0.9271580118782268,1.2903225806451613,-179.2749991362306,-2688.124987043459,-579.0504261587646,579.0504261587646
0.40090782404863695,0.9300606774026507,1.3196480938416422,-178.04679974957276,-2669.7019962435916,-593.3922260731819,593.3922260731819
0.40971898501673887,0.9328932779681741,1.348973607038123,-176.80174310437894,-2651.026146565684,-607.3345235712525,607.3345235712525
0.4185301459848408,0.9356568566924398,1.3782991202346042,-175.54066314989797,-2632.1099472484693,-620.8531118589386,620.8531118589386
0.4273413069529427,0.9383524691216127,1.4076246334310851,-174.2644214225444,-2612.966321338166,-633.924850916166,633.924850916166
0.4361524679210446,0.9409811802944686,1.436950146627566,-172.97390680375202,-2593.6086020562802,-646.5277137126416,646.5277137126416
0.44496362888914653,0.9435440618701891,1.466275659824047,-171.67003512792797,-2574.05052691892,-658.6408295658977,658.6408295658977
0.45377478985724845,0.9460421893230587,1.4956011730205279,-170.35374862522985,-2554.306229378448,-670.2445245469213,670.2445245469213
0.46258595082535037,0.94847663920696,1.5249266862170088,-169.02601518381397,-2534.3902277572097,-681.3203588460811,681.3203588460811
0.47139711179345223,0.95084848649226,1.5542521994134897,-167.6878274163821,-2514.317411245732,-691.8511610211334,691.8511610211334
0.48020827276155414,0.9531588019773922,1.5835777126099706,-166.34020151634883,-2494.1030227452325,-701.8210590557048,701.8210590557048
0.48901943372965606,0.9554086497771881,1.6129032258064515,-164.98417588980266,-2473.7626383470397,-711.2155081668137,711.2155081668137
0.497830594697758,0.9575990848897393,1.6422287390029326,-163.62080955068487,-2453.312143260273,-720.0213153069484,720.0213153069484
0.5066417556658599,0.9597311508433612,1.6715542521994136,-162.25118026831007,-2432.767704024651,-728.2266603158952,728.2266603158952
0.5154529166339619,0.9618058774249858,1.7008797653958945,-160.87638245852742,-2412.145736877911,-735.8211136857503,735.8211136857503
0.5242640776020637,0.9638242784911387,1.7302052785923754,-159.497524812506,-2391.4628721875897,-742.7956509111041,742.7956509111041
0.5330752385701656,0.9657873498624441,1.7595307917888563,-158.1157276603323,-2370.735914904985,-749.1426634059178,749.1426634059178
0.5418863995382676,0.9676960673024547,1.7888563049853372,-156.7321200703264,-2349.981801054896,-754.8559659766493,754.8559659766493
