r,gr,k,Fg_k,S_k,G_k,D_k
0.004405580484050956,0.6355929544546965,0.0,-6.287034917473741,-11.574069834947482,-1.3233943588068435,1.3233943588068435
0.013216741452152868,0.6411583834024476,0.019550342130987292,-6.2866761982463,-11.5733523964926,-0.048412436791901534,0.048412436791901534
0.022027902420254777,0.646712412380771,0.039100684261974585,-6.285600210097438,-11.571200420194875,-0.06541152482957767,0.06541152482957767
0.03083906338835669,0.6522539298343997,0.05865102639296188,-6.283807461562166,-11.567614923124331,-0.08493669469821442,0.08493669469821442
0.039650224356458603,0.6577818306246452,0.07820136852394917,-6.281298799980725,-11.56259759996145,-0.1069738428180718,0.1069738428180718
0.04846138532456051,0.663295016575008,0.09775171065493646,-6.278075411170883,-11.556150822341767,-0.1315070692656847,0.1315070692656847
0.05727254629266242,0.6687923969992982,0.11730205278592376,-6.274138818968089,-11.548277637936177,-0.15851869585905734,0.15851869585905734
0.06608370726076433,0.6742728892119911,0.13685239491691104,-6.269490884632423,-11.538981769264845,-0.18798928624315833,0.18798928624315833
0.07489486822886625,0.6797354190198553,0.15640273704789834,-6.2641338061209915,-11.528267612241983,-0.21989766794762286,0.21989766794762286
0.08370602919696815,0.6851789211945316,0.17595307917888564,-6.258070117224106,-11.516140234448212,-0.25422095638350645,0.25422095638350645
0.09251719016507007,0.6906023399254341,0.19550342130987292,-6.251302686563307,-11.502605373126613,-0.2909345807437542,0.2909345807437542
0.10132835113317198,0.6960046292526267,0.21505376344086022,-6.243834716449025,-11.48766943289805,-0.3300123117699814,0.3300123117699814
0.11013951210127389,0.7013847534792144,0.23460410557184752,-6.235669741595357,-11.471339483190715,-0.37142629134414284,0.37142629134414284
0.1189506730693758,0.70674168756294,0.2541544477028348,-6.2268116276892,-11.4536232553784,-0.4151470638621817,0.4151470638621817
0.1277618340374777,0.7120744174866618,0.27370478983382207,-6.217264569810736,-11.434529139621471,-0.4611436093439531,0.4611436093439531
0.13657299500557962,0.7173819406074713,0.2932551319648094,-6.207033090701946,-11.414066181403893,-0.5093833782308903,0.5093833782308903
0.14538415597368154,0.7226632659842303,0.3128054740957967,-6.196122038879667,-11.392244077759335,-0.5598323278211483,0.5598323278211483
0.15419531694178346,0.7279174146833796,0.33235581622678395,-6.184536586589438,-11.369073173178876,-0.612454960289532,0.612454960289532
0.16300647790988537,0.7331434200628903,0.3519061583577713,-6.172282227596184,-11.344564455192367,-0.6672143622369264,0.6672143622369264
0.17181763887798726,0.738340328034308,0.37145650048875856,-6.1593647748075515,-11.318729549615103,-0.7240722457128312,0.7240722457128312
0.18062879984608918,0.7435071973028473,0.39100684261974583,-6.14579035772557,-11.29158071545114,-0.7829889906517359,0.7829889906517359
0.1894399608141911,0.7486430995855817,0.41055718475073316,-6.13156541972212,-11.26313083944424,-0.8439236886628647,0.8439236886628647
0.198251121782293,0.7537471198077764,0.43010752688172044,-6.116696715133548,-11.233393430267096,-0.9068341881108835,0.9068341881108835
0.20706228275039493,0.7588183562774979,0.4496578690127077,-6.101191306169608,-11.202382612339216,-0.9716771404236721,0.9716771404236721
0.21587344371849682,0.7638559208386357,0.46920821114369504,-6.08505655963185,-11.1701131192637,-1.0384080475615578,1.0384080475615578
0.22468460468659873,0.7688589390025518,0.4887585532746823,-6.06830014343643,-11.13660028687286,-1.1069813105814743,1.1069813105814743
