max,min,density,resolution
8.079896827858075,-4.082898107211358,2.0,512
11.720732218787443,-3.264819170083658,3.0,512
20.538782980768744,-1.4173899346568983,5.0,512
52.071567629574965,-0.9846941150975733,12.0,512
88.66701746822866,-0.9070743188116409,20.0,512
134.21642166898312,-0.8525875998937211,30.0,512
225.23851001366623,-0.761584541889353,50.0,512
452.7426070607969,-0.5471136304054901,100.0,512
680.2334539108172,-0.3360908728445739,150.0,512
907.7212416668317,-0.12586641584616193,200.0,512
1135.2070795014984,0.08380133437776893,250.0,512
1362.6931224568618,0.2935683627269991,300.0,512
1590.1838014286457,0.5045653769716095,350.0,512
1817.6683787733718,0.7139301012414988,400.0,512
2045.1529561180985,0.923294825511388,450.0,512
2272.6375334628246,1.1326595497812777,500.0,512
2500.122110807551,1.3420242740511665,550.0,512
2272.6375334628246,1.1326595497812777,500.0,512
