velocityOfSound,density,resolution
0.40714230297767495,0.1,512
0.2984246607935445,0.7,512
0.4072321865703597,1.0,512
0.5174652210972803,2.0,512
0.5916407602081724,3.0,512
0.6474560973967448,4.0,512
0.6935676719920659,5.0,512
1.0651591326393082,20.0,512
1.1332474352214155,25.0,512
1.1908371503338864,30.0,512
1.362039962255414,50.0,512
1.627304540180182,100.0,512
