k,diff
0.0,0.002658147810832956
0.03913894324853229,0.00020083679226816364
0.07827788649706457,0.00033130296517816515
0.11741682974559686,0.0004960108953847575
0.15655577299412915,0.0006962033976670723
0.19569471624266144,0.0009331954042393065
0.23483365949119372,0.0012082883955465418
0.273972602739726,0.0015226768406046975
0.3131115459882583,0.001877349188377564
0.3522504892367906,0.0022729861423083086
0.3913894324853229,0.002709859080767929
0.43052837573385516,0.0031877315530030037
0.46966731898238745,0.0037057667821263074
0.5088062622309197,0.004262444041983726
0.547945205479452,0.004855486644593787
0.5870841487279843,0.005481804081262531
0.6262230919765166,0.006137450606086947
0.6653620352250489,0.006817602240136278
0.7045009784735812,0.007516553814419735
0.7436399217221135,0.008227737266043311
0.7827788649706457,0.008943761961718533
0.821917808219178,0.009656477355344917
0.8610567514677103,0.010357057804861736
0.9001956947162426,0.011036108874409312
0.9393346379647749,0.011683793963912503
0.9784735812133072,0.012289979622315705
1.0176125244618395,0.012844397446961864
1.0567514677103718,0.013336820047299192
1.095890410958904,0.013757248159651514
1.1350293542074363,0.014096105675543757
1.1741682974559686,0.014344439056764635
1.213307240704501,0.014494117407326979
1.2524461839530332,0.01453802932078796
1.2915851272015655,0.014470272557649544
1.3307240704500978,0.014286332607704288
1.36986301369863,0.013983246286960238
1.4090019569471623,0.013559746671345962
1.4481409001956946,0.013016385918264817
1.487279843444227,0.012355632833150665
1.5264187866927592,0.011581942425184621
1.5655577299412915,0.010701795134646641
1.6046966731898238,0.009723703919181315
1.643835616438356,0.00865818792436146
1.6829745596868884,0.0075177120538882924
1.7221135029354206,0.0063165923539263424
1.761252446183953,0.0050708677606481345
1.8003913894324852,0.003798139377610088
1.8395303326810175,0.0025173790854822187
1.8786692759295498,0.0012487098766325033
1.917808219178082,1.316091383474216e-5
1.9569471624266144,-0.0011675991500617044
1.9960861056751467,-0.0022715464946130304
2.035225048923679,-0.0032765994509476037
2.0743639921722115,-0.0041609235112980425
2.1135029354207435,-0.004903237732015064
2.152641878669276,-0.005483114257382127
2.191780821917808,-0.005881257707535781
2.2309197651663406,-0.00607973590990718
2.2700587084148727,-0.006062076442892361
2.309197651663405,-0.005812862852689338
2.3483365949119372,-0.005314274133078611
2.3874755381604698,-0.004482099795572014
2.426614481409002,-0.003645022219745095
2.4657534246575343,-0.002393096600310174
2.5048923679060664,-0.0008749395571784335
2.544031311154599,0.0008990791436921386
2.583170254403131,0.002925904877752128
2.6223091976516635,0.0051984402312399425
2.6614481409001955,0.007706371065934192
2.700587084148728,0.010436518241652148
2.73972602739726,0.013373074154553688
2.7788649706457926,0.0164978272872216
2.8180039138943247,0.019790403149587465
2.857142857142857,0.023228528884980726
2.8962818003913893,0.02678832174110024
2.935420743639922,0.030444598776728782
2.974559686888454,0.03417120384702077
3.0136986301369864,0.03794134719968145
3.0528375733855184,0.04172795261460127
3.091976516634051,0.04550400681727318
3.131115459882583,0.049242905831033745
3.1702544031311155,0.05291879298441948
3.2093933463796476,0.056506883452167145
3.24853228962818,0.059983770458381436
3.287671232876712,0.06332770861294179
3.3268101761252447,0.06651887026875869
3.3659491193737767,0.06953957127516386
3.4050880626223092,0.07237446304766859
3.4442270058708413,0.07501068846904602
3.483365949119374,0.0774379997614627
3.522504892367906,0.07964883712657844
3.5616438356164384,0.0816383676112622
3.6007827788649704,0.0834044843200612
3.639921722113503,0.0849477667459233
3.679060665362035,0.08627140361376995
3.7181996086105675,0.0873810802209718
3.7573385518590996,0.08828483280082722
3.796477495107632,0.08899287292151747
3.835616438356164,0.08951738535685294
3.8747553816046967,0.08987230321929829
3.9138943248532287,0.09007306442519081
3.9530332681017613,0.09013635376272511
3.9921722113502933,0.09007983495425798
4.031311154598826,0.0899218771467094
4.070450097847358,0.08968128022448951
4.109589041095891,0.08937700322493214
4.148727984344423,0.08902789995272364
4.187866927592955,0.08865246563263085
4.227005870841487,0.08826859813290255
4.26614481409002,0.08789337692327592
4.305283757338552,0.08754286252454513
4.344422700587084,0.08723191876618053
4.383561643835616,0.08697405969635952
4.422700587084149,0.08678132250929771
4.461839530332681,0.0866641673633417
4.500978473581213,0.08663140447885098
4.540117416829745,0.08669014842976885
4.579256360078278,0.08684579909358092
4.61839530332681,0.0871020482984477
4.657534246575342,0.08746091082062257
4.6966731898238745,0.08792277803840065
4.7358121330724074,0.08848649224968241
4.7749510763209395,0.0891494394106278
4.814090019569472,0.0899076578570508
4.853228962818004,0.09075596042733203
4.892367906066537,0.09168806731668866
4.931506849315069,0.09269674696005836
4.970645792563601,0.09377396225435852
5.009784735812133,0.09491101950121994
5.048923679060666,0.09609871755516153
5.088062622309198,0.09732749481912606
5.12720156555773,0.09858757191054224
5.166340508806262,0.09986908803790051
5.205479452054795,0.1011622293676453
5.244618395303327,0.10245734791577377
5.283757338551859,0.10374506976816278
5.322896281800391,0.10501639170511545
5.362035225048924,0.10626276558011938
5.401174168297456,0.1074761700667679
5.440313111545988,0.1086491696444245
5.47945205479452,0.10977496093282646
5.518590998043053,0.11084740670491655
5.557729941291585,0.11186105810433844
5.596868884540117,0.11281116576514982
5.636007827788649,0.1136936806751212
5.675146771037182,0.11450524574192222
5.714285714285714,0.11524317910210158
5.7534246575342465,0.11590545027877575
5.7925636007827785,0.11649065031675399
5.8317025440313115,0.11699795703210292
5.870841487279844,0.11742709649097804
5.909980430528376,0.11777830178988324
5.949119373776908,0.11805227014864883
5.988258317025441,0.11825011924698181
6.027397260273973,0.11837334364818375
6.066536203522505,0.11842377204739307
6.105675146771037,0.1184035259773708
