velocityOfSound,density,resolution
0.48754745367586166,1.6,512
0.5252476789200593,2.0,512
0.5904207017752952,3.0,512
0.6902038016531655,5.0,512
0.734032216849806,10.0,512
0.9755923642982923,15.0,512
1.0622838330038196,20.0,512
1.1305622189911657,25.0,512
1.1878879058955227,30.0,512
