velocityOfSound,density,resolution
0.48754745367586166,1.6,512
0.5252476789200593,2.0,512
0.5904207017752952,3.0,512
0.6902038016531655,5.0,512
0.734032216849806,10.0,512
0.9755923642982923,15.0,512
